company,website,domain,email,email_type,phone,address,city,state,postcode,score,rank,qualified,signals_fired,signal_coverage,provider_count,npi,npi_taxonomy,opening_angle,signal_headline,provider_phrase,mx_provider,deliverable,osm_id
Center For Dental Rehabilitation,https://www.iconicdentalaz.com/,iconicdentalaz.com,,none,+1-602-485-0505,"16620 North 40th St, Building F, Phoenix, AZ 85032",Phoenix,AZ,85032,7,1,yes,three_plus_providers|hiring_reception,0.86,4,,,"Noticed you're running 4 providers, and you're hiring for the front desk. That usually means missed calls outside chair time turn into lost bookings, which is exactly the gap an AI receptionist closes.",hiring for the front desk,a 4 provider practice,Google Workspace,yes,node/8002102961
Solomon Pediatric Dental,https://solomonpediatricdental.com/,solomonpediatricdental.com,,none,+1-602-345-7959,"5757 West Thunderbird Road Ste E45, Glendale, AZ 85306",Glendale,AZ,85306,6,3,yes,three_plus_providers|no_online_booking,0.86,10,,,"Noticed you're running 10 providers, and every appointment still has to come through the phone. That usually means missed calls outside chair time turn into lost bookings, which is exactly the gap an AI receptionist closes.",booking only by phone,a 10 provider practice,,yes,node/3777640210
Glendale Gentle Dentistry,https://glendalegentledentistry.com/,glendalegentledentistry.com,,none,+1-623-244-4304,"8850 North 43rd Avenue, Glendale, AZ 85302",Glendale,AZ,85302,4,4,yes,hiring_reception,0.57,,1063803518,"Dentist, General Practice","Noticed you're hiring for the front desk. That usually means missed calls outside chair time turn into lost bookings, which is exactly the gap an AI receptionist closes.",hiring for the front desk,,Microsoft 365,yes,way/487995593
Arcadia Dental Arts,https://smilearcadia.com/,smilearcadia.com,office@smilearcadia.com,role,+1-602-957-9643,"4124 North 40th Street, Phoenix, AZ 85018",Phoenix,AZ,85018,3,5,no,no_online_booking,0.86,2,1881909083,"Dentist, General Practice",,booking only by phone,a 2 provider practice,,yes,way/927945602
Dental Depot Orthodontics,https://dentaldepotarizona.com/services/orthodontics/invisalign/,dentaldepotarizona.com,,none,+1 602-845-8653,"3730 W. Greenway Rd, Phoenix, AZ 85053",Phoenix,AZ,85053,3,6,no,three_plus_providers,0.86,13,,,,multi provider practice,a 13 provider practice,Microsoft 365,yes,node/12037737132
Desert Sage Family Dental,https://dsfdental.com/,dsfdental.com,,none,+1 602-246-2217,"2236 West Bethany Home Road Ste Suite 1, Phoenix, AZ 85015",Phoenix,AZ,85015,3,7,no,three_plus_providers,0.86,3,,,,multi provider practice,a 3 provider practice,Microsoft 365,yes,node/9870162808
Smile Arizona Dentistry,https://www.smilearizonadentistry.com/,smilearizonadentistry.com,info@smilearizonadentistry.com,role,+1-480-994-5225,"7327 East Thomas Road, Scottsdale, AZ 85251",Scottsdale,AZ,85251,3,8,no,no_online_booking,0.86,2,,,,booking only by phone,a 2 provider practice,Proofpoint,yes,node/6645679875
Aesthetic Dentistry of Arrowhead,https://www.drgregceyhan.com/,drgregceyhan.com,,none,+1-623-979-1515,,,,,3,10,no,no_online_booking,0.57,,,,,booking only by phone,,,yes,node/3121458177
"Alan Persons, DMD",https://www.alanpersonsdentist.com/,alanpersonsdentist.com,frontoffice@alanpersonsdentist.com,personal,+1-623-435-0553,"8811 North 51st Avenue Ste 100, Glendale, AZ 85302",Glendale,AZ,85302,3,11,no,no_online_booking,0.57,,1972798817,"Dentist, General Practice",,booking only by phone,,,yes,node/8693520900
"Arizona 3D Dental Lab, LLC",https://www.lab.dental/,lab.dental,info@lab.dental,role,+1-623-207-7620,"11851 North 51st Avenue Ste C110, Glendale, AZ 85304",Glendale,AZ,85304,3,12,no,no_online_booking,0.57,,,,,booking only by phone,,Google Workspace,yes,node/10767872308
Beyond Dental Care,https://beyonddentalcare.com/,beyonddentalcare.com,info@beyonddentalcare.com,role,+1-623-267-8088,"6615 W. Happy Valley Road Ste Suite B103-104,, Glendale, AZ 85310",Glendale,AZ,85310,2,13,no,accepting_new_patients,0.86,2,,,,accepting new patients,a 2 provider practice,Barracuda,yes,node/10274798771
Op Dental Care,https://www.opdentalcare.com/,opdentalcare.com,,none,+1-602-249-4404,"2401 West Glendale Avenue Ste 202, Phoenix, AZ 85021",Phoenix,AZ,85021,2,14,no,accepting_new_patients,0.86,2,,,,accepting new patients,a 2 provider practice,,yes,node/3009696976
Desert Dentistry,https://desertdentistry.com/,desertdentistry.com,,none,,"4609 East Chandler Boulevard, Phoenix, AZ 85048",Phoenix,AZ,85048,2,15,no,accepting_new_patients,0.57,,1194843987,Dentist,,accepting new patients,,Google Workspace,yes,way/205357963
Agave Dental,https://agavedental.com/,agavedental.com,team@agavedental.com,role,+1-602-957-2411,"4235 North 32nd Street Ste Suite C, Phoenix, AZ 85018",Phoenix,AZ,85018,1,16,no,hiring_reception,0.86,1,1851780852,"Dentist, General Practice",,hiring for the front desk,a solo practice,Google Workspace,yes,node/9488306286
Arizona Biltmore Dentistry,https://www.arizonabiltmoredentistry.com/,arizonabiltmoredentistry.com,,none,+1-602-957-8200,"4444 North 32nd Street, Phoenix, AZ 85018",Phoenix,AZ,85018,1,17,no,accepting_new_patients|multiple_locations,0.86,1,,,,more than one location,a solo practice,Google Workspace,yes,node/4999515581
JC Family Dental,http://www.jcfamilydentalaz.com/,jcfamilydentalaz.com,,none,+1-602-375-8646,"401 East Bell Road Ste 14, Phoenix, AZ 85022",Phoenix,AZ,85022,0,18,no,no_online_booking,0.86,1,1831520410,"Dentist, General Practice",,booking only by phone,a solo practice,,yes,node/11278126255
Sparkle Smile Dental Care,https://www.sparklesmiledentalcare.com/,sparklesmiledentalcare.com,,none,+1-623-600-4330,"3201 West Peoria Avenue Ste A-103, Phoenix, AZ 85029",Phoenix,AZ,85029,0,19,no,,0.86,2,,,,,a 2 provider practice,Google Workspace,yes,node/12983391225
Advanced Dental Health,https://www.adhaz.com/,adhaz.com,office@adhaz.com,role,+1-480-783-7192,"4350 suite 105 East Ray Road, 85044",,,,0,20,no,,0.57,,,,,,,Google Workspace,yes,node/14172560102
Arizona Dental,https://www.arizonadental.com/,arizonadental.com,info@arizonadental.com,role,+1-602-357-0619,"3010 East Cactus Road, Phoenix, AZ 85028",Phoenix,AZ,85028,0,21,no,,0.57,,,,,,,Microsoft 365,yes,way/143655222
Beautiful Smiles of Arizona,https://beautifulsmilesaz.com/,beautifulsmilesaz.com,,none,+1-602-978-0901,"16845 North 29th Avenue Ste 6, Phoenix, AZ 85053",Phoenix,AZ,85053,0,22,no,,0.57,,,,,,,Microsoft 365,yes,node/12201234796
Desert Ridge Pediatric Dentistry,https://azkidsdds.com/,azkidsdds.com,info@azkidsdds.com,role,+1-480-585-5868,"5315 East High Street Ste 115, Phoenix, AZ 85054-5482",Phoenix,AZ,85054,0,23,no,,0.57,,,,,,,,yes,node/13004192941
Desert Ridge Prosthodontics,https://desertridgepros.com/,desertridgepros.com,info@desertridgepros.com,role,+1-480-502-9833,"5315 East High Street Ste 119, Phoenix, AZ 85054-5482",Phoenix,AZ,85054,0,24,no,,0.57,,,,,,,,yes,node/13004192942
Kidtastic Pediatric Dental & Orthodontics,https://book.kidtasticdental.com/,kidtasticdental.com,,none,+1 602-858-2987,4940 West Ray Road,,,,0,26,no,,0.57,,,,,,,Microsoft 365,yes,node/12239984564
Mecham Orthodontics,https://mechamortho.com/,mechamortho.com,,none,+1-602-805-8525,"16611 South 40th Street Ste 110, Phoenix, AZ 85048",Phoenix,AZ,85048,0,27,no,,0.57,,,,,,,Google Workspace,yes,node/13323289822
Murphy Orthodontics,https://www.murphyorthodontics.com/,murphyorthodontics.com,,none,+1-602-482-0022,"5355 East High Street Ste 105, Phoenix, AZ 85054-5481",Phoenix,AZ,85054,0,28,no,,0.57,,1780727610,"Dentist, Orthodontics and Dentofacial Orthopedics",,,,Microsoft 365,yes,node/13004192944
Parkside Dental Health,https://www.parksidedentalhealth.com/,parksidedentalhealth.com,,none,+1-480-705-9433,"5865 West Ray Road Ste 7, Chandler, AZ 85226-1881",Chandler,AZ,85226,0,29,no,,0.57,,,,,,,Microsoft 365,yes,node/13709074817
Peoria Healthy Smiles,https://peoriahealthysmiles.com/,peoriahealthysmiles.com,,none,+1-623-974-4799,"13660 North 94th Drive, Peoria, AZ 85381",Peoria,AZ,85381,0,30,no,,0.57,,1346661964,Dentist,,,,,yes,node/9974398792
